#genus	code	division
Epsilonpapillomavirus	G10	Vertebrates
Epsilonretrovirus	G10	Vertebrates
Erbovirus	G10	Vertebrates
Etapapillomavirus	G10	Vertebrates
Flavivirus	G10	Vertebrates
Gammapapillomavirus	G10	Vertebrates
Gammaretrovirus	G10	Vertebrates
Gyrovirus	G10	Vertebrates
Hantavirus	G10	Vertebrates
Henipavirus	G10	Vertebrates
Hepacivirus	G10	Vertebrates
Hepatovirus	G10	Vertebrates
Hepevirus	G10	Vertebrates
Ictalurivirus	G10	Vertebrates
Iltovirus	G10	Vertebrates
Influenzavirus A	G10	Vertebrates
Influenzavirus B	G10	Vertebrates
Influenzavirus C	G10	Vertebrates
Iotapapillomavirus	G10	Vertebrates
Isavirus	G10	Vertebrates
Kappapapillomavirus	G10	Vertebrates
Kobuvirus	G10	Vertebrates
Lagovirus	G10	Vertebrates
Lambdapapillomavirus	G10	Vertebrates
Lentivirus	G10	Vertebrates
Leporipoxvirus	G10	Vertebrates
Lymphocryptovirus	G10	Vertebrates
Lymphocystivirus	G10	Vertebrates
Mamastrovirus	G10	Vertebrates
Marburgvirus	G10	Vertebrates
Mardivirus	G10	Vertebrates
Mastadenovirus	G10	Vertebrates
Megalocytivirus	G10	Vertebrates
Metapneumovirus	G10	Vertebrates
Molluscipoxvirus	G10	Vertebrates
Morbillivirus	G10	Vertebrates
Mupapillomavirus	G10	Vertebrates
Muromegalovirus	G10	Vertebrates
Nairovirus	G10	Vertebrates
Norovirus	G10	Vertebrates
Nupapillomavirus	G10	Vertebrates
Okavirus	G10	Vertebrates
Orbivirus	G10	Vertebrates
Orthobunyavirus	G10	Vertebrates
Orthohepadnavirus	G10	Vertebrates
Orthopoxvirus	G10	Vertebrates
Orthoreovirus	G10	Vertebrates
Parapoxvirus	G10	Vertebrates
Parechovirus	G10	Vertebrates
Pestivirus	G10	Vertebrates
Phlebovirus	G10	Vertebrates
Pipapillomavirus	G10	Vertebrates
Pneumovirus	G10	Vertebrates
Polyomavirus	G10	Vertebrates
Ranavirus	G10	Vertebrates
Respirovirus	G10	Vertebrates
Rhadinovirus	G10	Vertebrates
Roseolovirus	G10	Vertebrates
Rotavirus	G10	Vertebrates
Rubivirus	G10	Vertebrates
Rubulavirus	G10	Vertebrates
Sapovirus	G10	Vertebrates
Seadornavirus	G10	Vertebrates
Siadenovirus	G10	Vertebrates
Simplexvirus	G10	Vertebrates
Spumavirus	G10	Vertebrates
Suipoxvirus	G10	Vertebrates
Teschovirus	G10	Vertebrates
Thetapapillomavirus	G10	Vertebrates
Thogotovirus	G10	Vertebrates
Torovirus	G10	Vertebrates
Varicellovirus	G10	Vertebrates
Vesivirus	G10	Vertebrates
Xipapillomavirus	G10	Vertebrates
Yatapoxvirus	G10	Vertebrates
Zetapapillomavirus	G10	Vertebrates
Bracorhabdovirus	G1	Invertebrates
Influenzavirus d	G10	Vertebrates
Negevirus	G1	Invertebrates
